State,Emission (Kt),Emission (tonne),Population,CO2 emissions (tonnes per capita)
New South Wales,132408.00,132408000.00,8094300,16.35817798
Australian Capital Territory,1134.06,1134055.16,447650,2.533352303
South Australia,25376.39,25376392.36,1794514,14.14109467
Western Australia,82115.84,82115841.82,2728187,30.0990518
Northern Territory,17345.02,17345021.59,247819,69.99068508
Queensland,159202.22,159202215.41,5184329,30.70835501
Victoria,83274.01,83274009.02,6567195,12.68030095
Tasmania,-3732.74,-3732740.00,561881,-6.643292797

